+1000ns 0
+2.00001e+08ns 1.44432
+4.00001e+08ns 10.08
+6.00001e+08ns 14.94
+8.00001e+08ns 9.54
+1e+09ns 11.34
+1.2e+09ns 10.02
+1.4e+09ns 10.02
+1.6e+09ns 10.14
+1.8e+09ns 9.96
+2e+09ns 10.02
+2.2e+09ns 10.02
+2.4e+09ns 10.02
+2.6e+09ns 10.08
+2.8e+09ns 10.02
+3e+09ns 10.02
+3.2e+09ns 10.02
+3.4e+09ns 10.08
+3.6e+09ns 10.02
+3.8e+09ns 10.02
+4e+09ns 9.96
+4.2e+09ns 10.02
+4.4e+09ns 10.14
+4.6e+09ns 10.02
+4.8e+09ns 9.96
+5e+09ns 10.02
+5.2e+09ns 10.14
+5.4e+09ns 9.96
+5.6e+09ns 10.02
+5.8e+09ns 10.02
+6e+09ns 9.96
+6.2e+09ns 10.14
+6.4e+09ns 10.02
+6.6e+09ns 9.96
+6.8e+09ns 10.02
+7e+09ns 10.14
+7.2e+09ns 9.96
+7.4e+09ns 10.02
+7.6e+09ns 10.02
+7.8e+09ns 10.08
+8e+09ns 10.02
+8.2e+09ns 10.02
+8.4e+09ns 9.96
+8.6e+09ns 10.02
+8.8e+09ns 10.08
+9e+09ns 10.02
+9.2e+09ns 10.02
+9.4e+09ns 9.96
+9.6e+09ns 10.14
+9.8e+09ns 10.02
+1e+10ns 9.96
+1.02e+10ns 10.02
+1.04e+10ns 9.96
+1.06e+10ns 10.14
+1.08e+10ns 9.96
+1.1e+10ns 10.02
+1.12e+10ns 10.02
+1.14e+10ns 10.08
+1.16e+10ns 10.02
+1.18e+10ns 5.88
+1.2e+10ns 10.08
+1.22e+10ns 10.02
+1.24e+10ns 10.02
+1.26e+10ns 10.02
+1.28e+10ns 10.14
+1.3e+10ns 10.02
+1.32e+10ns 10.02
+1.34e+10ns 10.02
+1.36e+10ns 10.02
+1.38e+10ns 10.2
+1.4e+10ns 10.02
+1.42e+10ns 10.02
+1.44e+10ns 10.02
+1.46e+10ns 10.14
+1.48e+10ns 10.02
+1.5e+10ns 10.02
+1.52e+10ns 9.96
+1.54e+10ns 10.02
+1.56e+10ns 10.14
+1.58e+10ns 10.02
+1.6e+10ns 10.02
+1.62e+10ns 10.02
+1.64e+10ns 10.14
+1.66e+10ns 10.02
+1.68e+10ns 10.02
+1.7e+10ns 10.02
+1.72e+10ns 9.96
+1.74e+10ns 10.14
+1.76e+10ns 10.02
+1.78e+10ns 10.02
+1.8e+10ns 10.02
+1.82e+10ns 10.14
+1.84e+10ns 9.96
+1.86e+10ns 10.02
+1.88e+10ns 10.02
+1.9e+10ns 10.02
+1.92e+10ns 10.14
+1.94e+10ns 9.96
+1.96e+10ns 10.02
+1.98e+10ns 10.02
+2e+10ns 10.14
+2.02e+10ns 10.02
+2.04e+10ns 9.96
+2.06e+10ns 10.02
+2.08e+10ns 10.02
+2.1e+10ns 10.14
+2.12e+10ns 9.96
+2.14e+10ns 10.02
+2.16e+10ns 10.02
+2.18e+10ns 10.08
+2.2e+10ns 10.02
+2.22e+10ns 10.02
+2.24e+10ns 10.02
+2.26e+10ns 9.96
+2.28e+10ns 10.14
+2.3e+10ns 10.02
+2.32e+10ns 9.96
+2.34e+10ns 10.02
+2.36e+10ns 10.14
+2.38e+10ns 9.96
+2.4e+10ns 10.02
+2.42e+10ns 10.02
+2.44e+10ns 9.96
+2.46e+10ns 10.14
+2.48e+10ns 10.02
+2.5e+10ns 9.96
+2.52e+10ns 10.02
+2.54e+10ns 10.14
+2.56e+10ns 9.96
+2.58e+10ns 10.02
+2.6e+10ns 9.96
+2.62e+10ns 10.02
+2.64e+10ns 10.14
+2.66e+10ns 9.96
+2.68e+10ns 10.02
+2.7e+10ns 10.02
+2.72e+10ns 10.08
+2.74e+10ns 10.02
+2.76e+10ns 10.02
+2.78e+10ns 9.96
+2.8e+10ns 10.02
+2.82e+10ns 10.08
+2.84e+10ns 10.02
+2.86e+10ns 9.96
+2.88e+10ns 10.02
+2.9e+10ns 10.14
+2.92e+10ns 9.96
+2.94e+10ns 10.02
+2.96e+10ns 5.94
+2.98e+10ns 9.96
+3e+10ns 10.08
+3.02e+10ns 10.02
+3.04e+10ns 10.14
+3.06e+10ns 10.02
+3.08e+10ns 10.02
+3.1e+10ns 10.02
+3.12e+10ns 10.14
+3.14e+10ns 10.02
+3.16e+10ns 10.02
+3.18e+10ns 10.02
+3.2e+10ns 10.08
+3.22e+10ns 10.14
+3.24e+10ns 9.96
+3.26e+10ns 10.02
+3.28e+10ns 10.02
+3.3e+10ns 10.14
+3.32e+10ns 10.02
+3.34e+10ns 10.02
+3.36e+10ns 10.02
+3.38e+10ns 10.02
+3.4e+10ns 10.14
+3.42e+10ns 10.02
+3.44e+10ns 10.02
+3.46e+10ns 10.02
+3.48e+10ns 10.14
+3.5e+10ns 9.96
+3.52e+10ns 10.02
+3.54e+10ns 10.02
+3.56e+10ns 10.02
+3.58e+10ns 10.14
+3.6e+10ns 10.02
+3.62e+10ns 9.96
+3.64e+10ns 10.02
+3.66e+10ns 10.14
+3.68e+10ns 10.02
+3.7e+10ns 10.02
+3.72e+10ns 9.96
+3.74e+10ns 10.02
+3.76e+10ns 10.14
+3.78e+10ns 10.02
+3.8e+10ns 9.96
+3.82e+10ns 10.02
+3.84e+10ns 10.14
+3.86e+10ns 10.02
+3.88e+10ns 9.96
+3.9e+10ns 10.02
+3.92e+10ns 10.02
+3.94e+10ns 10.14
+3.96e+10ns 9.96
+3.98e+10ns 10.02
+4e+10ns 10.02
+4.02e+10ns 10.08
+4.04e+10ns 10.02
+4.06e+10ns 10.02
+4.08e+10ns 10.02
+4.1e+10ns 9.96
+4.12e+10ns 10.14
+4.14e+10ns 10.02
+4.16e+10ns 9.96
+4.18e+10ns 10.02
+4.2e+10ns 10.14
+4.22e+10ns 9.96
+4.24e+10ns 10.02
+4.26e+10ns 10.02
+4.28e+10ns 9.96
+4.3e+10ns 10.14
+4.32e+10ns 10.02
+4.34e+10ns 9.96
+4.36e+10ns 10.02
+4.38e+10ns 10.08
+4.4e+10ns 10.02
+4.42e+10ns 10.02
+4.44e+10ns 9.96
+4.46e+10ns 10.02
+4.48e+10ns 10.14
+4.5e+10ns 9.96
+4.52e+10ns 10.02
+4.54e+10ns 9.96
+4.56e+10ns 10.14
+4.58e+10ns 10.02
+4.6e+10ns 9.96
+4.62e+10ns 10.02
+4.64e+10ns 9.96
+4.66e+10ns 10.14
+4.68e+10ns 10.02
+4.7e+10ns 9.96
+4.72e+10ns 10.02
+4.74e+10ns 6
+4.76e+10ns 9.9
+4.78e+10ns 10.08
+4.8e+10ns 10.14
+4.82e+10ns 10.02
+4.84e+10ns 10.02
+4.86e+10ns 10.02
+4.88e+10ns 10.14
+4.9e+10ns 10.02
+4.92e+10ns 10.02
+4.94e+10ns 10.02
+4.96e+10ns 10.02
+4.98e+10ns 10.14
+5e+10ns 10.02
+5.02e+10ns 10.02
+5.04e+10ns 10.02
+5.06e+10ns 10.14
+5.08e+10ns 10.02
+5.1e+10ns 10.02
+5.12e+10ns 10.02
+5.14e+10ns 10.02
+5.16e+10ns 10.14
+5.18e+10ns 10.02
+5.2e+10ns 10.02
+5.22e+10ns 10.02
+5.24e+10ns 10.14
+5.26e+10ns 9.96
+5.28e+10ns 10.02
+5.3e+10ns 10.02
+5.32e+10ns 10.02
+5.34e+10ns 10.14
